ID;OID;TYPE;NAME;LEVEL;PATIENT_INFO;SHELF_LIFE;STORAGE_TYPE;EXTENDED_LIFE;UNLIMITED_LIFE;MO_SIGN;FORMAT;START_DATE;END_DATE;IMPLEMENTATION_GUIDE;GIT_LINK;SHOW_PATIENT;IS_ONLINE;DAYS_COUNT;SERIES_REQUIRED
66;66;108;"Протокол хирургической операции (PDF/A-1)";0;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";1;"06.04.2021";;;;"Нет";"Нет";;"Нет"
120;120;374;"Согласие гражданина (его законного или уполномоченного представителя) на направление и проведение медико-социальной экспертизы (PDF/A-1)";0;"Обязательны с указанием СНИЛС";"25 лет";"Выдается МО";"Да";"Да";"Да";1;"18.07.2022";"29.03.2023";;;"Нет";"Нет";;"Нет"
6;6;5;"Протокол консультации (PDF/A-1)";0;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";1;"04.07.2018";"01.01.2024";;;"Да";"Нет";;"Нет"
5;5;6;"Протокол инструментального исследования (PDF/A-1)";0;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";1;"04.07.2018";"01.01.2024";;;"Да";"Нет";;"Нет"
51;51;40;"Карта профилактического медицинского осмотра несовершеннолетнего (PDF/A-1)";0;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";1;"17.10.2020";;;;"Нет";"Нет";;"Нет"
52;52;41;"Медицинская карта пациента, получающего медицинскую помощь в амбулаторных условиях (PDF/A-1)";0;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";1;"17.10.2020";;;;"Нет";"Нет";;"Нет"
53;53;42;"Контрольная карта диспансерного наблюдения (PDF/A-1)";0;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";1;"17.10.2020";;;;"Нет";"Нет";;"Нет"
54;54;44;"Контрольная карта диспансеризации (профилактических медицинских осмотров) (PDF/A-1)";0;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";1;"17.10.2020";;;;"Нет";"Нет";;"Нет"
55;55;45;"Медицинское заключение об отсутствии медицинских противопоказаний к владению оружием (PDF/A-1)";0;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";1;"17.10.2020";"27.01.2022";;;"Нет";"Нет";;"Нет"
56;56;46;"Медицинское заключение об отсутствии в организме человека наркотических средств, психотропных веществ и их метаболитов (PDF/A-1)";0;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";1;"17.10.2020";"27.01.2022";;;"Нет";"Нет";;"Нет"
67;67;109;"Протокол медицинской манипуляции (PDF/A1)";0;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";1;"06.04.2021";"01.01.2024";;;"Нет";"Нет";;"Нет"
7;7;7;"Протокол лабораторного исследования (PDF/A-1)";0;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";1;"04.07.2018";"01.01.2024";;;"Да";"Нет";;"Нет"
8;8;36;"Протокол телемедицинской консультации (PDF/A-1)";0;"Не обязательны";"25 лет";"Хранится в МО";"Да";"Да";"Нет";1;"13.08.2018";"01.01.2024";;;"Нет";"Нет";;"Нет"
102;102;344;"Справка об отказе в направлении на медико-социальную экспертизу (CDA) Редакция 1";3;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"04.11.2021";"27.12.2022";"https://portal.egisz.rosminzdrav.ru/materials/3987";"1.2.643.5.1.13.13.15.6.1";"Нет";"Нет";;"Нет"
104;104;59;"Экстренное извещение об инфекционном заболевании, пищевом, остром профессиональном отравлении, необычной реакции на прививку (CDA) Редакция 1";3;"Не обязательны";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"04.11.2021";;"https://portal.egisz.rosminzdrav.ru/materials/3983";"1.2.643.5.1.13.13.15.70.1";"Нет";"Нет";;"Нет"
113;113;353;"Документ, содержащий сведения медицинского свидетельства о смерти в бумажной форме (CDA) Редакция 5";3;"Не обязательны";"25 лет";"Выдается МО";"Да";"Да";"Да";2;"03.03.2021";;"https://portal.egisz.rosminzdrav.ru/materials/3815";"1.2.643.5.1.13.13.15.36.5";"Нет";"Нет";;"Да"
114;114;354;"Документ, содержащий сведения медицинского свидетельства о перинатальной смерти в бумажной форме (CDA) Редакция 2";3;"Не обязательны";"25 лет";"Выдается МО";"Да";"Да";"Да";2;"03.03.2021";;"https://portal.egisz.rosminzdrav.ru/materials/3817";"1.2.643.5.1.13.13.15.38.2";"Нет";"Нет";;"Да"
116;116;362;"Уведомление о выявлении противопоказаний или аннулировании медицинских заключений к владению оружием (CDA) Редакция 1";3;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"15.02.2022";;"https://portal.egisz.rosminzdrav.ru/materials/4049";"1.2.643.5.1.13.13.15.62.1";"Нет";"Нет";;"Нет"
118;118;33;"Документ, содержащий сведения медицинского свидетельства о рождении в бумажной форме (CDA) Редакция 4";3;"Не обязательны";"25 лет";"Выдается МО";"Да";"Да";"Да";2;"21.02.2021";;"https://portal.egisz.rosminzdrav.ru/materials/3849";"1.2.643.5.1.13.13.15.39.4";"Нет";"Нет";;"Да"
123;123;241;"Направление на госпитализацию для оказания высокотехнологичной медицинской помощи (CDA) Редакция 2";3;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"18.11.2022";;"https://portal.egisz.rosminzdrav.ru/materials/4257";"1.2.643.5.1.13.13.15.33.2";"Нет";"Нет";;"Нет"
124;124;346;"Направление на госпитализацию для оказания специализированной медицинской помощи (CDA) Редакция 2";3;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"18.11.2022";;"https://portal.egisz.rosminzdrav.ru/materials/4255";"1.2.643.5.1.13.13.15.34.2";"Нет";"Нет";;"Нет"
13;13;13;"Медицинское свидетельство о смерти (CDA) Редакция 2";3;"Не обязательны";"25 лет";"Выдается МО";"Да";"Да";"Да";2;"16.10.2018";"31.08.2021";"https://portal.egisz.rosminzdrav.ru/materials/2931";"1.2.643.5.1.13.13.15.35.2";"Нет";"Нет";;"Да"
